Latitud,longitud,IDdepartamento,NOMBDEP,IDPROV,NOMBPROV,IDdistrito,NOMBDIST,POBLACION,FECHA,DAT_POB,PESO
-7.364304083,-78.9176893,06,CAJAMARCA,0605,CONTUMAZA,060504,GUZMANGO,2864,2020,INEI,28.64
-7.15904793,-78.87308521,06,CAJAMARCA,0612,SAN PABLO,061203,SAN LUIS,949,2020,INEI,9.49
-7.014424663,-79.67130096,14,LAMBAYEQUE,1401,CHICLAYO,140107,LAGUNAS,10899,2020,INEI,108.99
-6.865730357,-79.85748457,14,LAMBAYEQUE,1401,CHICLAYO,140108,MONSEFU,35368,2020,INEI,353.68
-6.88870094,-79.5066821,14,LAMBAYEQUE,1401,CHICLAYO,140116,CAYALTI,16364,2020,INEI,163.64
-10.714926,-77.68269231,15,LIMA,1502,BARRANCA,150201,BARRANCA,76776,2020,INEI,767.76
-11.00359043,-77.4452241,15,LIMA,1508,HUAURA,150806,HUAURA,38493,2020,INEI,384.93
-10.88355617,-77.12792023,15,LIMA,1509,OYON,150904,COCHAMARCA,1226,2020,INEI,12.26
-9.081830566,-77.00734458,02,ANCASH,0203,ANTONIO RAYMONDI,020301,LLAMELLIN,3571,2020,INEI,35.71
-9.143241853,-77.95702706,02,ANCASH,0212,HUAYLAS,021206,PAMPAROMAS,8757,2020,INEI,87.57
-10.19044603,-77.34248183,02,ANCASH,0205,BOLOGNESI,020505,CAJACAY,1887,2020,INEI,18.87
-10.33445516,-77.19097938,02,ANCASH,0205,BOLOGNESI,020506,CANIS,327,2020,INEI,3.27
-10.23247689,-77.20803417,02,ANCASH,0205,BOLOGNESI,020515,TICLLOS,689,2020,INEI,6.89
-9.100105628,-78.43615622,02,ANCASH,0218,SANTA,021809,NUEVO CHIMBOTE,170160,2020,INEI,1701.6
-15.7019629,-73.02910968,04,AREQUIPA,0406,CONDESUYOS,040608,YANAQUIHUA,4415,2020,INEI,44.15
-15.60113066,-72.47175924,04,AREQUIPA,0404,CASTILLA,040408,MACHAGUAY,564,2020,INEI,5.64
-15.11609846,-72.24849582,04,AREQUIPA,0404,CASTILLA,040409,ORCOPAMPA,8906,2020,INEI,89.06
-15.67077551,-72.61905898,04,AREQUIPA,0404,CASTILLA,040410,PAMPACOLCA,2269,2020,INEI,22.69
-16.26159127,-72.52557265,04,AREQUIPA,0404,CASTILLA,040413,URACA,7199,2020,INEI,71.99
-15.96762286,-72.01844538,04,AREQUIPA,0405,CAYLLOMA,040511,LLUTA,830,2020,INEI,8.3
-15.73131121,-71.79727447,04,AREQUIPA,0405,CAYLLOMA,040512,MACA,776,2020,INEI,7.76
-15.54134002,-71.85744275,04,AREQUIPA,0405,CAYLLOMA,040513,MADRIGAL,706,2020,INEI,7.06
-17.16003666,-71.55072322,04,AREQUIPA,0407,ISLAY,040706,PUNTA DE BOMBON,6986,2020,INEI,69.86
-15.28980977,-73.07042656,04,AREQUIPA,0408,LA UNION,040807,QUECHUALLA,291,2020,INEI,2.91
-15.40476234,-73.01612325,04,AREQUIPA,0408,LA UNION,040811,TORO,578,2020,INEI,5.78
-16.48931212,-71.98780112,04,AREQUIPA,0401,AREQUIPA,040125,VITOR,4344,2020,INEI,43.44
-16.63091405,-72.71287959,04,AREQUIPA,0402,CAMANA,040201,CAMANA,14163,2020,INEI,141.63
-16.47940054,-72.63409381,04,AREQUIPA,0402,CAMANA,040205,NICOLAS DE PIEROLA,7818,2020,INEI,78.18
-16.25268216,-71.45694765,04,AREQUIPA,0401,AREQUIPA,040103,CAYMA,102189,2020,INEI,1021.89
-16.49888709,-71.33217586,04,AREQUIPA,0401,AREQUIPA,040113,POCSI,500,2020,INEI,5
-15.37541936,-74.76157588,04,AREQUIPA,0403,CARAVELI,040305,BELLA UNION,3396,2020,INEI,33.96
